,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
2003-02-28,1174.4321,1209.7111,1234.785,1234.785,,,,,,
2003-03-31,1152.1524,1221.4565,1289.7389,1200.6021,,,,,,
2003-04-30,1236.2987,1322.0677,1324.6802,1236.2987,,,,,,
2003-05-31,1321.3913,1391.7244,1391.7244,1321.3913,0,,,,,
2003-06-30,1396.6992,1409.4778,1462.481,1396.6992,0,,,,,
2003-07-31,1416.878,1434.3292,1458.5122,1421.0261,0,,,,,
2003-08-31,1398.4214,1462.3015,1462.3015,1419.6391,0,,,,,
2003-09-30,1446.7726,1446.7726,1509.4717,1482.6089,0,,,,,
2003-10-31,1479.2297,1528.6165,1528.6165,1479.2297,0,,,,,
2003-11-30,1505.7617,1542.0658,1542.3945,1540.7102,0,,,,,
2003-12-31,1544.3134,1622.9386,1622.9386,1559.5018,0,,,,,
2004-01-31,1618.0504,1652.7279,1687.4406,1618.0504,0,,,,,
2004-02-29,1646.2909,1675.7,1693.0328,1658.7882,0,,,,,
2004-03-31,1598.8494,1650.4195,1693.762,1691.8985,0,,,,,
2004-04-30,1624.5112,1624.5112,1686.2415,1659.1645,0,,,,,
2004-05-31,1592.2333,1646.8037,1647.6468,1639.4603,0,,,,,
2004-06-30,1641.4278,1678.8256,1682.7504,1647.5735,0,,,,,
2004-07-31,1596.4845,1623.2621,1661.5255,1661.5255,0,,,,,
2004-08-31,1567.9472,1629.828,1634.8316,1630.4808,0,,,,,
2004-09-30,1630.6678,1647.4803,1668.3855,1632.8185,0,,,,,
2004-10-31,1619.4786,1672.6485,1688.8266,1672.4867,0,,,,,
2004-11-30,1673.1047,1740.3266,1754.3343,1673.1047,0,,,,,
2004-12-31,1745.8347,1799.5477,1801.9772,1766.9033,0,,,,,
2005-01-31,1729.3305,1755.6842,1784.9561,1784.9561,0,,,,,
